system,question_id,question,gold_answer,predicted_answer,exact_match,f1,rouge_l,bleu_1,mrr,retrieval_precision
WEAR-RAG,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,I don't know. The provided evidence does not contain information about Ed Wood's nationality.,0.0,0.0,0.0,0.0,1.0,0.2
WEAR-RAG,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,I don't know. The evidence provided does not mention any government position held by the actress who portrayed Corliss Archer in the film Kiss and Tell.,0.0,0.0,0.0,0.0,1.0,0.4
WEAR-RAG,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The science fantasy young adult series with companion books narrating the stories of enslaved worlds and alien species is Animorphs, specifically The Hork-Bajir Chronicles.",0.0,0.0909,0.0909,0.0476,1.0,0.4
WEAR-RAG,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"No, the Esma Sultan Mansion is located in Ortaköy neighborhood, and the Laleli Mosque is located in Laleli neighborhood. Both are in Istanbul, Turkey, but they are not in the same neighborhood.",0.0,0.0667,0.0667,0.0345,1.0,0.4
WEAR-RAG,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",1.0,1.0,1.0,1.0,1.0,0.4
WEAR-RAG,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"The debut album, 2014 S/S, was formed by YG Entertainment.",0.0,0.3636,0.3636,0.2222,1.0,0.4
WEAR-RAG,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"I don't know. The evidence provided does not indicate that Eenasul Fateh, who is known by his stage name Aladin, was a management consultant.",0.0,0.1667,0.1667,0.0909,1.0,0.4
WEAR-RAG,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The evidence provided does not specify the exact seating capacity of the arena where the Lewiston Maineiacs played their home games. However, it is mentioned that the Androscoggin Bank Colisée can seat up to 3,677 people. Since the team played at the Androscoggin Bank Colisée, it can be inferred that the arena where the Lewiston Maineiacs played their home games can seat at least 3,677 people.",0.0,0.0339,0.0339,0.0175,1.0,0.4
WEAR-RAG,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson is older than Annie Morton.,0.0,0.4444,0.4444,0.2857,1.0,0.4
WEAR-RAG,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,"Yes, both Local H and For Against are from the United States.",0.0,0.1667,0.1667,0.0909,1.0,0.4
WEAR-RAG,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"The name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area is Kansas Song (We’re From Kansas).",0.0,0.129,0.129,0.069,1.0,0.4
WEAR-RAG,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,"David Weissman co-wrote ""The Family Man"" starring Nicolas Cage and Téa Leoni.",0.0,0.3077,0.3077,0.1818,1.0,0.4
WEAR-RAG,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1.0,1.0,1.0,1.0,1.0,0.4
WEAR-RAG,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,"Yes, both the Random House Tower and 888 7th Avenue are used for real estate. The Random House Tower is a mixed-use tower that includes a luxury apartment complex, while 888 7th Avenue is an office skyscraper that houses the Vornado Realty Trust corporate headquarters and other businesses.",0.0,0.0,0.0,0.0,1.0,0.4
WEAR-RAG,5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,"The football manager who recruited David Beckham managed Manchester United between 1994-1996, as he is one of the young players mentioned in the evidence of the 1995-1996 Manchester United F.C. season. However, it's important to note that the manager's tenure at Manchester United was from 1945 to 1969 and again for the second half of the 1970–71 season, as stated in the evidence of Sir Matt Busby. The evidence provided does not specify the exact timeframe when he recruited David Beckham.",0.0,0.0533,0.0533,0.0282,0.5,0.4
WEAR-RAG,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",I don't know. The evidence provided does not contain information about the population of the country where Brown State Fishing Lake is located.,0.0,0.0,0.0,0.0,1.0,0.4
