system,question_id,question,gold_answer,predicted_answer,exact_match,f1,rouge_l,bleu_1,mrr,retrieval_precision
Baseline RAG,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,"Yes, both Scott Derrickson and Ed Wood were American.",0.0,0.2,0.2,0.1111,1.0,0.4
Baseline RAG,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,I don't know. The evidence provided does not mention any government position held by the woman who portrayed Corliss Archer in the film Kiss and Tell.,0.0,0.0,0.0,0.0,1.0,0.2
Baseline RAG,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,I don't know. The provided evidence does not contain information about a science fantasy young adult series with companion books narrating the stories of enslaved worlds and alien species.,0.0,0.0,0.0,0.0,1.0,0.2
Baseline RAG,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"No, the Esma Sultan Mansion is located in Ortaköy neighborhood, while the Laleli Mosque is located in the Laleli neighborhood, both in Istanbul, Turkey.",0.0,0.0909,0.0909,0.0476,1.0,0.4
Baseline RAG,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",The evidence does not provide information about the director's current residence.,0.0,0.0,0.0,0.0,1.0,0.2
Baseline RAG,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,2014 S/S is the debut album of a South Korean boy group that was formed by YG Entertainment.,0.0,0.2222,0.2222,0.125,1.0,0.4
Baseline RAG,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"Eenasul Fateh, also known by his stage name Aladin, was a management consultant who helped organizations improve their performance.",0.0,0.2,0.2,0.1111,1.0,0.4
Baseline RAG,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","I don't know. The evidence provided does not specify the seating capacity of the Androscoggin Bank Colisée, where the Lewiston Maineiacs played their home games.",0.0,0.0,0.0,0.0,1.0,0.4
Baseline RAG,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson is older than Annie Morton.,0.0,0.4444,0.4444,0.2857,1.0,0.4
Baseline RAG,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,yes,"Yes, both Local H and For Against are from the United States.",0.0,0.1667,0.1667,0.0909,1.0,0.4
Baseline RAG,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"I don't know. The provided evidence does not specify the name of the fight song for the University of Kansas, which has its main campus in Lawrence, Kansas, and branch campuses in the Kansas City metropolitan area.",0.0,0.1176,0.0588,0.0625,1.0,0.4
Baseline RAG,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,"David Weissman co-wrote a film starring Nicolas Cage and Téa Leoni, as he is the screenwriter credited for ""The Family Man"" (2000).",0.0,0.1905,0.1905,0.1053,1.0,0.4
Baseline RAG,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,I don't know. The evidence provided does not indicate that Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective.,0.0,0.0,0.0,0.0,0.25,0.2
